Source:,D:\Motor Controller Research\GitHub\motor-controller\PCBs\MCU_Powertrain\MCU_Powertrain.sch,,,,,,
Date:,2020-01-21 17:43,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,
Component Count:,111,,,,,,
,,,,,,,
Individual Components:,,,,,,,
,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Digikey
,,R32,330,Device:R_Small_US,,~,A129743CT-ND
,,R33,330,Device:R_Small_US,,~,A129743CT-ND
,,R34,330,Device:R_Small_US,,~,A129743CT-ND
,,R35,10k,Device:R_Small_US,,~,311-10.0KCRCT-ND
,,SW1,SW_Push_Dual,Switch:SW_Push_Dual,,~,CKN9112CT-ND
,,SW2,SW_Push_Dual,Switch:SW_Push_Dual,,~,CKN9112CT-ND
,,U1,DRV8305,ESC Drivetrain V1:DRV8305,ESC Drivetrain V1:DRV8305,http://www.ti.com/lit/ds/symlink/drv8305.pdf,296-42659-1-ND
,,U2,SN65HVD232,Interface_CAN_LIN:SN65HVD232,Package_SO:SOIC-8_3.9x4.9mm_P1.27mm,http://www.ti.com/lit/ds/symlink/sn65hvd230.pdf,296-26344-1-ND
,,U3,MCP2515,MCU_Powertrain:MCP2515-QFN20,Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm,http://ww1.microchip.com/downloads/en/DeviceDoc/21801e.pdf,MCP2515T-I/MLCT-ND
,,U4,LMR16006XDDC,ESC Drivetrain V1:LMR16006XDDC,TO_SOT_Packages_SMD:SOT-23-6,http://www.ti.com/lit/ds/symlink/lmr16006.pdf,296-40293-1-ND
,,U5,TMS320F28027F,MCU_Powertrain:TMS320F28027F,Housings_QFP:LQFP-48_7x7mm_Pitch0.5mm,,296-36409-ND
,,U6,SN74LVC2G07,MCU_Powertrain:SN74LVC2G07,Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm,http://www.ti.com/lit/ds/symlink/sn74lvc2t45.pdf,296-13494-1-ND
,,U7,SN74LVC2G07,MCU_Powertrain:SN74LVC2G07,Package_SO:VSSOP-8_2.4x2.1mm_P0.5mm,http://www.ti.com/lit/ds/symlink/sn74lvc2t45.pdf,296-13494-1-ND
,,Y1,20MHz,Device:Crystal_Small,,~,SER4249CT-ND
